"* Required Fields","* Pflichtfelder",
"Ask your question","Stellen Sie Ihre Frage",
"Contact Form","Kontakt Formular",
"Ask Question","Frage stellen",
"Question about:","Frage über:"
"Contacts","Kontakte",
"Contacts Section","Kontakte",
"Email","Email",
"Email Options","Email Optionen",
"Email Sender","Email Absender",
"Email Template","Email Vorlage",
"Enable Product Question","Produkt Frage einschalten",
"Name","Name",
"Send Emails To","Sende E-Mails an",
"Submit","Absenden",
"Telephone","Telefon",
"Unable to submit your request. Please, try again later","Ihre Anfrage konnte nicht übermittelt werden, bitte versuchen Sie es später erneut.",
"Your question was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ihre Frage wurde übermitttelt und wird so schnell wie möglich beantwortet. Vielen Dank für Ihre Anfrage.",
"Ask a question about this product","Stellen Sie eine Frage zu diesem Produkt",
