"* Required Fields","* Campi obbligatori",
"Ask your question","Fai la tua domanda",
"Contact Form","Kontakt Formular",
"Ask Question","Chiedi informazioni",
"Question about:","Richiesta circa:"
"Contacts"," Contatti",
"Contacts Section","Sezione Contatti",
"Email","E-mail",
"Email Options","Opzioni E-mail",
"Email Sender","E-mail di chi spedisce",
"Email Template","Modello E-mail",
"Enable Product Question","Abilita il form di domanda sui prodotti",
"Name","Nome",
"Send Emails To","Spedisci E-mail a",
"Submit","Invia",
"Telephone","Telefono",
"Unable to submit your request. Please, try again later","Non riesco ad inviare la tua richiesta, per piacere riprova più tardi.",
"Your question was submitted and will be responded to as soon as possible. Thank you for contacting us.","La tua richiesta è stata spedita, riceverai risposta il prima possibile. Grazie per averci contattato.",
"Ask a question about this product","Chiedi un preventivo per questo prodotto",
